state,date,admission,maskwearing,delphi_samplesize,maskwearing_stderr,symptom,symptoms_stderr
nj,2021-05-03,162.5714286,0.995121,4743.9982,0.1665999,0.995121,0.1665999
nm,2021-05-03,22.5714286,1.0222643,1964.4179,0.2965206,1.0222643,0.2965206
nv,2021-05-03,48.7142857,1.0280658,1554.8298,0.3271309,1.0280658,0.3271309
ny,2021-05-03,289.2857143,0.5320967,10012.001,0.0709721,0.5320967,0.0709721
oh,2021-05-03,182.2857143,1.2444005,7684.9986,0.2387163,1.2444005,0.2387163
ok,2021-05-03,34.8571429,0.9652602,2517.9981,0.2427543,0.9652602,0.2427543
or,2021-05-03,37.2857143,0.8624236,3616.601,0.2334868,0.8624236,0.2334868
pa,2021-05-03,265.5714286,1.2194027,8722.0046,0.1583997,1.2194027,0.1583997
pr,2021-05-03,28.4285714,,,,,
ri,2021-05-03,8.7142857,0.4963211,800.989,0.2642605,0.4963211,0.2642605
sc,2021-05-03,48,1.1282387,3607.003,0.1981717,1.1282387,0.1981717
sd,2021-05-03,12.1428571,1.711929,753.0144,0.4435897,1.711929,0.4435897
tn,2021-05-03,87.1428571,1.3164833,4146.9225,0.2250747,1.3164833,0.2250747
tx,2021-05-03,347.4285714,0.938941,12854.0235,0.1003472,0.938941,0.1003472
ut,2021-05-03,23.7142857,0.9060649,1795.2528,0.2162497,0.9060649,0.2162497
va,2021-05-03,86.7142857,0.6451796,5832.7657,0.1137497,0.6451796,0.1137497
vi,2021-05-03,0.1428571,,,,,
vt,2021-05-03,3.4285714,0.3087155,654.0008,0.1851442,0.3087155,0.1851442
wa,2021-05-03,73.1428571,0.7709597,5590.9713,0.1457856,0.7709597,0.1457856
wi,2021-05-03,86.5714286,0.8898517,4116.006,0.2025675,0.8898517,0.2025675
wv,2021-05-03,33.8571429,1.2019467,1627.0553,0.3058671,1.2019467,0.3058671
wy,2021-05-03,6.8571429,0.5527283,458.7611,0.3056153,0.5527283,0.3056153
ak,2021-05-04,6,1.5743881,546,0.7739334,1.5743881,0.7739334
al,2021-05-04,65.1428571,0.8425888,2584.0333,0.1754731,0.8425888,0.1754731
ar,2021-05-04,35.7142857,1.0110461,1787.1992,0.2891502,1.0110461,0.2891502
az,2021-05-04,70.7142857,0.78437,4351.0174,0.1730049,0.78437,0.1730049
ca,2021-05-04,230.8571429,0.643327,17028.7756,0.0704558,0.643327,0.0704558
co,2021-05-04,120.5714286,0.9252407,3811.8709,0.179926,0.9252407,0.179926
ct,2021-05-04,62.1428571,0.7166909,2788,0.2022891,0.7166909,0.2022891
dc,2021-05-04,14.4285714,0,317,0.1641737,0,0.1641737
de,2021-05-04,16.8571429,0.4639306,832,0.2452232,0.4639306,0.2452232
fl,2021-05-04,466.8571429,0.8725909,12852.9996,0.0905212,0.8725909,0.0905212
ga,2021-05-04,191.5714286,0.5861342,4612.9719,0.1035606,0.5861342,0.1035606
hi,2021-05-04,6.2857143,0.2578379,835,0.2044443,0.2578379,0.2044443
ia,2021-05-04,32,0.4444564,2633.7263,0.1161856,0.4444564,0.1161856
id,2021-05-04,13.8571429,0.5988387,1283.8689,0.2115368,0.5988387,0.2115368
il,2021-05-04,234.1428571,1.015589,8112.0006,0.1467767,1.015589,0.1467767
in,2021-05-04,111.5714286,1.3456863,4275.0003,0.2234078,1.3456863,0.2234078
ks,2021-05-04,27.4285714,1.0153924,1981.1161,0.3994068,1.0153924,0.3994068
ky,2021-05-04,120.7142857,1.0907664,2788.76,0.2188759,1.0907664,0.2188759
la,2021-05-04,51,1.3266154,2404.9995,0.2917922,1.3266154,0.2917922
ma,2021-05-04,67,0.5655968,3778.013,0.1843181,0.5655968,0.1843181
md,2021-05-04,115.2857143,0.7695308,3207.9978,0.2061353,0.7695308,0.2061353
me,2021-05-04,14.1428571,0.4831457,1490.2234,0.1930267,0.4831457,0.1930267
mi,2021-05-04,346.8571429,1.1986583,9439.9931,0.139735,1.1986583,0.139735
mn,2021-05-04,87.1428571,0.9072679,3369.6735,0.1948986,0.9072679,0.1948986
mo,2021-05-04,70.2857143,0.8640143,3602.8836,0.2437031,0.8640143,0.2437031
ms,2021-05-04,29.4285714,1.0902255,1694.0113,0.3422269,1.0902255,0.3422269
mt,2021-05-04,15,0.7300856,950.3401,0.2981172,0.7300856,0.2981172
nc,2021-05-04,116.1428571,0.7803744,5993.0075,0.1214739,0.7803744,0.1214739
nd,2021-05-04,10.4285714,1.7778316,497.8118,0.7153105,1.7778316,0.7153105
ne,2021-05-04,14,0.724168,1384.1687,0.2309798,0.724168,0.2309798
nh,2021-05-04,12,0.9184194,1289.7766,0.3213592,0.9184194,0.3213592
nj,2021-05-04,158.5714286,0.896691,4656.9988,0.1604214,0.896691,0.1604214
nm,2021-05-04,23.1428571,1.0131346,1916.8608,0.3058049,1.0131346,0.3058049
nv,2021-05-04,46.4285714,0.9444822,1501.1028,0.3246279,0.9444822,0.3246279
ny,2021-05-04,286.8571429,0.6298447,9764.0006,0.0789281,0.6298447,0.0789281
oh,2021-05-04,178.4285714,1.2449038,7643.0006,0.2389052,1.2449038,0.2389052
ok,2021-05-04,33.5714286,0.7855984,2455.9988,0.20417,0.7855984,0.20417
or,2021-05-04,38.1428571,0.9311802,3504.6007,0.240433,0.9311802,0.240433
pa,2021-05-04,264.5714286,1.1265185,8499.004,0.1538578,1.1265185,0.1538578
pr,2021-05-04,26.2857143,,,,,
ri,2021-05-04,8.1428571,0.3775065,802.987,0.2359011,0.3775065,0.2359011
sc,2021-05-04,44.8571429,1.1508914,3490.0035,0.2102774,1.1508914,0.2102774
sd,2021-05-04,11,1.6325282,723.9609,0.4434324,1.6325282,0.4434324
tn,2021-05-04,88.8571429,1.3231236,4137.2323,0.26179,1.3231236,0.26179
tx,2021-05-04,342.2857143,0.9888608,12463.0288,0.1063105,0.9888608,0.1063105
ut,2021-05-04,23.7142857,0.71004,1754.2401,0.1873291,0.71004,0.1873291
va,2021-05-04,90.8571429,0.6199897,5737.9068,0.1112297,0.6199897,0.1112297
vi,2021-05-04,0.2857143,,,,,
vt,2021-05-04,3,0.3142908,639.0008,0.1884645,0.3142908,0.1884645
wa,2021-05-04,70.8571429,0.7696204,5507.9723,0.1432245,0.7696204,0.1432245
wi,2021-05-04,85.5714286,0.9966451,4040.0056,0.2070058,0.9966451,0.2070058
wv,2021-05-04,34.7142857,1.0322624,1581.0054,0.284468,1.0322624,0.284468
wy,2021-05-04,6.5714286,0.5604166,448.7819,0.3105032,0.5604166,0.3105032
ak,2021-05-05,5.7142857,0.6847896,540,0.3680771,0.6847896,0.3680771
al,2021-05-05,66.7142857,0.7751086,2539.0512,0.1682641,0.7751086,0.1682641
ar,2021-05-05,36.7142857,0.8615268,1729.3638,0.2782855,0.8615268,0.2782855
az,2021-05-05,73.5714286,0.7899726,4258.179,0.1740962,0.7899726,0.1740962
ca,2021-05-05,223.8571429,0.6430911,16848.7756,0.0701344,0.6430911,0.0701344
co,2021-05-05,124.4285714,0.8002679,3689.8719,0.1726942,0.8002679,0.1726942
ct,2021-05-05,61.1428571,0.7042093,2780,0.1985128,0.7042093,0.1985128
dc,2021-05-05,12.5714286,0.3093445,307,0.351024,0.3093445,0.351024
de,2021-05-05,16,0.4689902,810,0.2475049,0.4689902,0.2475049
fl,2021-05-05,454,0.8601029,12596.9991,0.0879236,0.8601029,0.0879236
ga,2021-05-05,192.8571429,0.7284692,4504.9641,0.1838017,0.7284692,0.1838017
hi,2021-05-05,6.8571429,0.4941221,853,0.310182,0.4941221,0.310182
ia,2021-05-05,33.2857143,0.6358018,2595.5697,0.1689656,0.6358018,0.1689656
id,2021-05-05,13.7142857,0.6307928,1291.8682,0.2087913,0.6307928,0.2087913
il,2021-05-05,233.7142857,0.9827489,7926.0006,0.1478478,0.9827489,0.1478478
in,2021-05-05,106.2857143,1.5030306,4218.0004,0.2420783,1.5030306,0.2420783
ks,2021-05-05,25.1428571,0.7268019,1947.0862,0.1885993,0.7268019,0.1885993
ky,2021-05-05,120.7142857,1.225113,2711.4559,0.2370318,1.225113,0.2370318
la,2021-05-05,49.1428571,1.4997922,2396.9994,0.3202399,1.4997922,0.3202399
ma,2021-05-05,67,0.6379406,3753.013,0.1906631,0.6379406,0.1906631
md,2021-05-05,111.1428571,0.7597383,3129.9983,0.2054284,0.7597383,0.2054284
me,2021-05-05,14.1428571,0.3848902,1494.2234,0.1516368,0.3848902,0.1516368
mi,2021-05-05,333,1.1884098,9305.994,0.1413638,1.1884098,0.1413638
mn,2021-05-05,83.7142857,0.7075432,3276.6314,0.151346,0.7075432,0.151346
mo,2021-05-05,66.8571429,0.8531409,3484.7316,0.2456652,0.8531409,0.2456652
ms,2021-05-05,28.7142857,0.8071527,1634.1745,0.2672271,0.8071527,0.2672271
mt,2021-05-05,17,0.8746251,921.3234,0.3471681,0.8746251,0.3471681
nc,2021-05-05,112.5714286,0.8268681,5921.0067,0.1208766,0.8268681,0.1208766
nd,2021-05-05,10.2857143,1.6287581,491.8104,0.7687243,1.6287581,0.7687243
ne,2021-05-05,13.7142857,0.6865554,1335.485,0.2285329,0.6865554,0.2285329
nh,2021-05-05,11.5714286,0.6943187,1272.7766,0.2715878,0.6943187,0.2715878
