,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
165,ks,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,89.4668706,0.8508199,1301.8004,state,fb-survey
166,ky,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,90.1300292,0.6888545,1874.694,state,fb-survey
167,la,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,86.0281531,0.8270194,1757.3692,state,fb-survey
168,ma,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,96.2710854,0.4005951,2237.005,state,fb-survey
169,md,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,96.9778195,0.3873887,1952.9848,state,fb-survey
170,me,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.5593162,0.8666262,917.0,state,fb-survey
171,mi,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.8915189,0.3556635,5220.0462,state,fb-survey
172,mn,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.5216689,0.5788891,2064.7021,state,fb-survey
173,mo,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,85.7650206,0.7252609,2321.0177,state,fb-survey
174,ms,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,89.3649718,0.9225525,1116.6673,state,fb-survey
175,mt,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,84.5073538,1.4512417,621.6424,state,fb-survey
176,nc,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,91.0533198,0.449879,4025.0037,state,fb-survey
177,nd,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,82.8387871,2.1493814,307.7193,state,fb-survey
178,ne,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,85.6450366,1.2549584,780.6307,state,fb-survey
179,nh,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,93.3364989,0.8856057,793.0,state,fb-survey
180,nj,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,96.0662574,0.3800027,2616.9986,state,fb-survey
181,nm,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,94.3887658,0.6325605,1323.6541,state,fb-survey
182,nv,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,93.3432869,0.8324677,896.6195,state,fb-survey
183,ny,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,96.8761766,0.2242278,6019.0003,state,fb-survey
184,oh,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,91.9487849,0.3910534,4841.0018,state,fb-survey
185,ok,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,84.475885,0.8554077,1792.228,state,fb-survey
186,or,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.9990485,0.5807651,1930.3433,state,fb-survey
187,pa,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.186896,0.3729986,5177.0025,state,fb-survey
188,ri,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,94.653521,1.0477417,460.995,state,fb-survey
189,sc,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,90.9233025,0.5770996,2478.0015,state,fb-survey
190,sd,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,73.6084969,2.0974848,441.5648,state,fb-survey
191,tn,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,85.1240917,0.7246722,2411.3086,state,fb-survey
192,tx,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,92.0834593,0.2899172,8672.9928,state,fb-survey
193,ut,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,90.2261969,0.8480905,1226.0603,state,fb-survey
194,va,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,93.8256895,0.3861766,3884.5278,state,fb-survey
195,vt,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,93.6080541,1.2581335,378.0009,state,fb-survey
196,wa,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,94.2193,0.4078705,3273.9779,state,fb-survey
197,wi,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,87.0914624,0.6635978,2552.9524,state,fb-survey
198,wv,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,90.3524191,0.9211949,1027.2004,state,fb-survey
199,wy,smoothed_wwearing_mask_7d,2021-02-12,2021-03-17,33,77.8380149,2.3753722,305.7293,state,fb-survey
200,ak,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,86.5325425,1.5146095,508.0,state,fb-survey
201,al,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,87.8568217,0.699553,2180.0509,state,fb-survey
202,ar,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,86.7505378,0.8626254,1544.6353,state,fb-survey
203,az,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,92.4324197,0.4639507,3249.6586,state,fb-survey
204,ca,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,95.2459704,0.1837835,13405.8818,state,fb-survey
205,co,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,91.9170185,0.5087228,2870.8146,state,fb-survey
206,ct,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,97.0192892,0.3718878,2091.0,state,fb-survey
207,dc,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,97.5567315,0.929308,276.0,state,fb-survey
208,de,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,96.4796188,0.7130495,668.0146,state,fb-survey
209,fl,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,89.5292553,0.3021687,10267.0009,state,fb-survey
210,ga,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,87.0790314,0.5458718,3775.9595,state,fb-survey
211,hi,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,97.3337157,0.6237664,667.0,state,fb-survey
212,ia,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,87.5407594,0.7056077,2190.6615,state,fb-survey
213,id,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,79.2131972,1.2309386,1086.707,state,fb-survey
214,il,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,93.8015203,0.3053965,6234.0015,state,fb-survey
215,in,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,89.4680939,0.5284635,3374.0005,state,fb-survey
216,ks,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,89.4919386,0.7550098,1649.6864,state,fb-survey
217,ky,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,89.9893051,0.6182681,2356.6847,state,fb-survey
218,la,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,86.1217598,0.7266846,2263.3688,state,fb-survey
219,ma,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,96.0833301,0.3671995,2791.0065,state,fb-survey
220,md,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,97.0846256,0.3342767,2532.9845,state,fb-survey
221,me,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,92.5320189,0.762996,1187.0,state,fb-survey
222,mi,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,93.0118145,0.3135805,6610.0442,state,fb-survey
223,mn,smoothed_wwearing_mask_7d,2021-02-13,2021-03-17,32,92.4100622,0.5188086,2605.8129,state,fb-survey
