,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
90,ri,smoothed_wili,2021-01-02,2021-01-07,5,0.4859696,0.1645452,1430.9805,state,fb-survey
91,sc,smoothed_wili,2021-01-02,2021-01-07,5,1.9952067,0.1992988,7254.0039,state,fb-survey
92,sd,smoothed_wili,2021-01-02,2021-01-07,5,1.20103,0.3345663,1239.9402,state,fb-survey
93,tn,smoothed_wili,2021-01-02,2021-01-07,5,1.9689492,0.2062414,8250.2883,state,fb-survey
94,tx,smoothed_wili,2021-01-02,2021-01-07,5,1.7996151,0.0953125,25016.2072,state,fb-survey
95,ut,smoothed_wili,2021-01-02,2021-01-07,5,1.6605017,0.2551161,3438.2491,state,fb-survey
96,va,smoothed_wili,2021-01-02,2021-01-07,5,1.100797,0.1034949,10056.3593,state,fb-survey
97,vt,smoothed_wili,2021-01-02,2021-01-07,5,0.4649301,0.2055519,1107.0021,state,fb-survey
98,wa,smoothed_wili,2021-01-02,2021-01-07,5,0.743134,0.122653,8761.8185,state,fb-survey
99,wi,smoothed_wili,2021-01-02,2021-01-07,5,0.9733041,0.1382398,6614.9538,state,fb-survey
100,wv,smoothed_wili,2021-01-02,2021-01-07,5,1.6280371,0.3615761,3152.1589,state,fb-survey
101,wy,smoothed_wili,2021-01-02,2021-01-07,5,1.7258255,0.4815808,873.6652,state,fb-survey
102,ak,smoothed_wili,2021-01-03,2021-01-08,5,0.7878077,0.2796093,960.0,state,fb-survey
103,al,smoothed_wili,2021-01-03,2021-01-08,5,2.6274235,0.2413034,5398.1576,state,fb-survey
104,ar,smoothed_wili,2021-01-03,2021-01-08,5,1.7299382,0.2006785,3879.1281,state,fb-survey
105,az,smoothed_wili,2021-01-03,2021-01-08,5,1.6976332,0.1587183,7195.5874,state,fb-survey
106,ca,smoothed_wili,2021-01-03,2021-01-08,5,1.5478928,0.077786,32797.2589,state,fb-survey
107,co,smoothed_wili,2021-01-03,2021-01-08,5,1.1438893,0.1397409,6479.6222,state,fb-survey
108,ct,smoothed_wili,2021-01-03,2021-01-08,5,0.7605403,0.1247475,5154.0,state,fb-survey
109,dc,smoothed_wili,2021-01-03,2021-01-08,5,0.5861332,0.4155917,489.0,state,fb-survey
110,de,smoothed_wili,2021-01-03,2021-01-08,5,1.6635837,0.4061187,1618.0,state,fb-survey
111,fl,smoothed_wili,2021-01-03,2021-01-08,5,1.281664,0.0897887,22044.0018,state,fb-survey
112,ga,smoothed_wili,2021-01-03,2021-01-08,5,2.2055556,0.1753243,8455.9087,state,fb-survey
113,hi,smoothed_wili,2021-01-03,2021-01-08,5,0.6334873,0.2387215,1212.0,state,fb-survey
114,ia,smoothed_wili,2021-01-03,2021-01-08,5,1.3862323,0.2678299,4555.0696,state,fb-survey
115,id,smoothed_wili,2021-01-03,2021-01-08,5,1.2941446,0.2142192,2425.6631,state,fb-survey
116,il,smoothed_wili,2021-01-03,2021-01-08,5,1.0662318,0.0963624,14579.999,state,fb-survey
117,in,smoothed_wili,2021-01-03,2021-01-08,5,1.2342124,0.1367129,8106.9988,state,fb-survey
118,ks,smoothed_wili,2021-01-03,2021-01-08,5,1.7121122,0.2423074,3889.9538,state,fb-survey
119,ky,smoothed_wili,2021-01-03,2021-01-08,5,1.2212936,0.1587956,5407.392,state,fb-survey
120,la,smoothed_wili,2021-01-03,2021-01-08,5,1.6264318,0.1887512,5364.9952,state,fb-survey
121,ma,smoothed_wili,2021-01-03,2021-01-08,5,0.9078103,0.1324358,6824.0185,state,fb-survey
122,md,smoothed_wili,2021-01-03,2021-01-08,5,0.8220678,0.1336256,5635.9964,state,fb-survey
123,me,smoothed_wili,2021-01-03,2021-01-08,5,0.9255357,0.2102943,2500.0,state,fb-survey
124,mi,smoothed_wili,2021-01-03,2021-01-08,5,1.0351183,0.1152266,13854.0444,state,fb-survey
125,mn,smoothed_wili,2021-01-03,2021-01-08,5,0.8289611,0.1390339,5476.4313,state,fb-survey
126,mo,smoothed_wili,2021-01-03,2021-01-08,5,1.1780086,0.1444911,6523.0472,state,fb-survey
127,ms,smoothed_wili,2021-01-03,2021-01-08,5,2.0388421,0.2594625,3559.8957,state,fb-survey
128,mt,smoothed_wili,2021-01-03,2021-01-08,5,1.5412177,0.3370747,1655.928,state,fb-survey
129,nc,smoothed_wili,2021-01-03,2021-01-08,5,1.3874342,0.1138041,12986.0147,state,fb-survey
130,nd,smoothed_wili,2021-01-03,2021-01-08,5,1.3050005,0.9115461,918.2071,state,fb-survey
131,ne,smoothed_wili,2021-01-03,2021-01-08,5,1.0499913,0.2386351,2384.5435,state,fb-survey
132,nh,smoothed_wili,2021-01-03,2021-01-08,5,1.0182006,0.2301967,2287.0,state,fb-survey
133,nj,smoothed_wili,2021-01-03,2021-01-08,5,0.8890476,0.1265307,8052.9973,state,fb-survey
134,nm,smoothed_wili,2021-01-03,2021-01-08,5,1.1440062,0.2368279,2907.6004,state,fb-survey
135,nv,smoothed_wili,2021-01-03,2021-01-08,5,1.1869923,0.2459416,2676.5949,state,fb-survey
136,ny,smoothed_wili,2021-01-03,2021-01-08,5,0.8891286,0.0864904,17938.0033,state,fb-survey
137,oh,smoothed_wili,2021-01-03,2021-01-08,5,1.348006,0.1092436,14588.0092,state,fb-survey
138,ok,smoothed_wili,2021-01-03,2021-01-08,5,2.2535168,0.2520474,5457.6236,state,fb-survey
139,or,smoothed_wili,2021-01-03,2021-01-08,5,0.7498993,0.137037,5315.9725,state,fb-survey
140,pa,smoothed_wili,2021-01-03,2021-01-08,5,1.2238188,0.0996116,15928.0092,state,fb-survey
141,ri,smoothed_wili,2021-01-03,2021-01-08,5,0.3560176,0.127796,1464.9815,state,fb-survey
142,sc,smoothed_wili,2021-01-03,2021-01-08,5,1.9211845,0.1900083,7462.0048,state,fb-survey
143,sd,smoothed_wili,2021-01-03,2021-01-08,5,1.1582373,0.3320158,1247.5215,state,fb-survey
144,tn,smoothed_wili,2021-01-03,2021-01-08,5,1.9548688,0.2056639,8375.6106,state,fb-survey
145,tx,smoothed_wili,2021-01-03,2021-01-08,5,1.7209909,0.0906573,25527.4556,state,fb-survey
146,ut,smoothed_wili,2021-01-03,2021-01-08,5,1.8550759,0.2687003,3436.2419,state,fb-survey
147,va,smoothed_wili,2021-01-03,2021-01-08,5,1.1853303,0.1086952,10069.0508,state,fb-survey
148,vt,smoothed_wili,2021-01-03,2021-01-08,5,0.3620349,0.1780267,1155.0021,state,fb-survey
149,wa,smoothed_wili,2021-01-03,2021-01-08,5,0.7194796,0.1191315,8878.8227,state,fb-survey
150,wi,smoothed_wili,2021-01-03,2021-01-08,5,1.023987,0.1411184,6683.9528,state,fb-survey
151,wv,smoothed_wili,2021-01-03,2021-01-08,5,1.4562493,0.3471334,3233.2079,state,fb-survey
152,wy,smoothed_wili,2021-01-03,2021-01-08,5,1.7187956,0.4687014,867.7219,state,fb-survey
153,ak,smoothed_wili,2021-01-04,2021-01-09,5,0.7675381,0.273875,987.0,state,fb-survey
154,al,smoothed_wili,2021-01-04,2021-01-09,5,2.6553972,0.2338484,5481.1569,state,fb-survey
155,ar,smoothed_wili,2021-01-04,2021-01-09,5,1.8064238,0.2087433,3869.1284,state,fb-survey
156,az,smoothed_wili,2021-01-04,2021-01-09,5,1.7791916,0.1705811,7279.473,state,fb-survey
157,ca,smoothed_wili,2021-01-04,2021-01-09,5,1.5321807,0.0763155,32972.3846,state,fb-survey
158,co,smoothed_wili,2021-01-04,2021-01-09,5,1.0769443,0.1346733,6440.7467,state,fb-survey
159,ct,smoothed_wili,2021-01-04,2021-01-09,5,0.8522792,0.1324864,5244.0,state,fb-survey
160,dc,smoothed_wili,2021-01-04,2021-01-09,5,0.5872501,0.416073,495.0,state,fb-survey
161,de,smoothed_wili,2021-01-04,2021-01-09,5,1.6012684,0.3955506,1620.0,state,fb-survey
162,fl,smoothed_wili,2021-01-04,2021-01-09,5,1.2726643,0.0867563,22388.0021,state,fb-survey
163,ga,smoothed_wili,2021-01-04,2021-01-09,5,2.249219,0.1747846,8543.8929,state,fb-survey
164,hi,smoothed_wili,2021-01-04,2021-01-09,5,0.679412,0.2241317,1251.0,state,fb-survey
165,ia,smoothed_wili,2021-01-04,2021-01-09,5,1.410574,0.264859,4672.104,state,fb-survey
166,id,smoothed_wili,2021-01-04,2021-01-09,5,1.3856974,0.219271,2435.7433,state,fb-survey
167,il,smoothed_wili,2021-01-04,2021-01-09,5,1.0327239,0.0948012,14687.0206,state,fb-survey
168,in,smoothed_wili,2021-01-04,2021-01-09,5,1.2262739,0.1370282,8097.0001,state,fb-survey
169,ks,smoothed_wili,2021-01-04,2021-01-09,5,1.7188768,0.2493696,3848.8384,state,fb-survey
170,ky,smoothed_wili,2021-01-04,2021-01-09,5,1.2818865,0.1623636,5397.1617,state,fb-survey
171,la,smoothed_wili,2021-01-04,2021-01-09,5,1.5767487,0.188658,5438.9956,state,fb-survey
172,ma,smoothed_wili,2021-01-04,2021-01-09,5,0.890223,0.1275173,6870.0175,state,fb-survey
173,md,smoothed_wili,2021-01-04,2021-01-09,5,0.9253062,0.18901,5689.9961,state,fb-survey
174,me,smoothed_wili,2021-01-04,2021-01-09,5,0.9322795,0.2104614,2543.0,state,fb-survey
175,mi,smoothed_wili,2021-01-04,2021-01-09,5,0.9950029,0.1069317,13989.0618,state,fb-survey
176,mn,smoothed_wili,2021-01-04,2021-01-09,5,0.7384873,0.1250699,5485.8838,state,fb-survey
177,mo,smoothed_wili,2021-01-04,2021-01-09,5,1.3170166,0.1586332,6559.0247,state,fb-survey
178,ms,smoothed_wili,2021-01-04,2021-01-09,5,2.3583978,0.2740295,3627.7019,state,fb-survey
179,mt,smoothed_wili,2021-01-04,2021-01-09,5,1.5343006,0.3268032,1708.2325,state,fb-survey
180,nc,smoothed_wili,2021-01-04,2021-01-09,5,1.3178392,0.1096221,13113.0125,state,fb-survey
181,nd,smoothed_wili,2021-01-04,2021-01-09,5,1.2833744,0.9040507,933.0254,state,fb-survey
182,ne,smoothed_wili,2021-01-04,2021-01-09,5,1.0360882,0.2371357,2402.9552,state,fb-survey
183,nh,smoothed_wili,2021-01-04,2021-01-09,5,1.1028116,0.2342603,2309.0,state,fb-survey
184,nj,smoothed_wili,2021-01-04,2021-01-09,5,0.8577182,0.0975835,8036.9971,state,fb-survey
185,nm,smoothed_wili,2021-01-04,2021-01-09,5,1.2164972,0.2441831,2698.6209,state,fb-survey
186,nv,smoothed_wili,2021-01-04,2021-01-09,5,1.0271004,0.2284944,2704.616,state,fb-survey
187,ny,smoothed_wili,2021-01-04,2021-01-09,5,0.934752,0.0910446,17949.003,state,fb-survey
188,oh,smoothed_wili,2021-01-04,2021-01-09,5,1.343471,0.1097911,14570.0083,state,fb-survey
189,ok,smoothed_wili,2021-01-04,2021-01-09,5,2.2477925,0.2479525,5535.4378,state,fb-survey
190,or,smoothed_wili,2021-01-04,2021-01-09,5,0.8179481,0.1438683,5325.8255,state,fb-survey
191,pa,smoothed_wili,2021-01-04,2021-01-09,5,1.1990782,0.0984566,16071.0094,state,fb-survey
192,ri,smoothed_wili,2021-01-04,2021-01-09,5,0.4895496,0.142771,1487.9825,state,fb-survey
193,sc,smoothed_wili,2021-01-04,2021-01-09,5,1.9844669,0.1942665,7692.0065,state,fb-survey
194,sd,smoothed_wili,2021-01-04,2021-01-09,5,1.1012327,0.3221735,1280.5325,state,fb-survey
195,tn,smoothed_wili,2021-01-04,2021-01-09,5,2.0776881,0.2075534,8424.8418,state,fb-survey
196,tx,smoothed_wili,2021-01-04,2021-01-09,5,1.6766476,0.0826053,25913.7034,state,fb-survey
197,ut,smoothed_wili,2021-01-04,2021-01-09,5,1.793638,0.2605704,3511.254,state,fb-survey
198,va,smoothed_wili,2021-01-04,2021-01-09,5,1.1832937,0.110118,10051.8426,state,fb-survey
199,vt,smoothed_wili,2021-01-04,2021-01-09,5,0.3223953,0.1840121,1171.0019,state,fb-survey
200,wa,smoothed_wili,2021-01-04,2021-01-09,5,0.8300554,0.1243959,9010.6898,state,fb-survey
201,wi,smoothed_wili,2021-01-04,2021-01-09,5,0.8966518,0.1256844,6756.9359,state,fb-survey
202,wv,smoothed_wili,2021-01-04,2021-01-09,5,1.4831036,0.3603451,3275.2083,state,fb-survey
203,wy,smoothed_wili,2021-01-04,2021-01-09,5,1.5845229,0.4421382,864.7533,state,fb-survey
204,ak,smoothed_wili,2021-01-05,2021-01-10,5,0.7065944,0.2612126,1013.0,state,fb-survey
205,al,smoothed_wili,2021-01-05,2021-01-10,5,2.7756004,0.2554087,5555.1411,state,fb-survey
206,ar,smoothed_wili,2021-01-05,2021-01-10,5,1.9619873,0.224179,3864.701,state,fb-survey
207,az,smoothed_wili,2021-01-05,2021-01-10,5,1.8071172,0.1724855,7364.179,state,fb-survey
208,ca,smoothed_wili,2021-01-05,2021-01-10,5,1.548837,0.0773641,33358.3822,state,fb-survey
209,co,smoothed_wili,2021-01-05,2021-01-10,5,1.0271239,0.1309683,6467.7843,state,fb-survey
210,ct,smoothed_wili,2021-01-05,2021-01-10,5,0.905001,0.1514229,5253.0,state,fb-survey
211,dc,smoothed_wili,2021-01-05,2021-01-10,5,0.5876519,0.4166832,490.0,state,fb-survey
212,de,smoothed_wili,2021-01-05,2021-01-10,5,1.2735053,0.2952001,1647.0,state,fb-survey
213,fl,smoothed_wili,2021-01-05,2021-01-10,5,1.2752125,0.0863068,22566.002,state,fb-survey
214,ga,smoothed_wili,2021-01-05,2021-01-10,5,2.218184,0.1744112,8421.8975,state,fb-survey
215,hi,smoothed_wili,2021-01-05,2021-01-10,5,0.6144591,0.1964075,1266.0,state,fb-survey
216,ia,smoothed_wili,2021-01-05,2021-01-10,5,1.2709146,0.190056,4646.1571,state,fb-survey
217,id,smoothed_wili,2021-01-05,2021-01-10,5,1.2166943,0.1958388,2453.9065,state,fb-survey
218,il,smoothed_wili,2021-01-05,2021-01-10,5,0.9710213,0.0858577,14785.0213,state,fb-survey
219,in,smoothed_wili,2021-01-05,2021-01-10,5,1.3905609,0.1465648,8084.0009,state,fb-survey
220,ks,smoothed_wili,2021-01-05,2021-01-10,5,1.4763401,0.2271765,3828.8684,state,fb-survey
221,ky,smoothed_wili,2021-01-05,2021-01-10,5,1.3208763,0.166699,5404.5441,state,fb-survey
222,la,smoothed_wili,2021-01-05,2021-01-10,5,1.7266592,0.1923066,5532.3654,state,fb-survey
223,ma,smoothed_wili,2021-01-05,2021-01-10,5,0.9306282,0.1314504,6980.0195,state,fb-survey
224,md,smoothed_wili,2021-01-05,2021-01-10,5,0.9061192,0.1875595,5708.9961,state,fb-survey
225,me,smoothed_wili,2021-01-05,2021-01-10,5,0.9097823,0.2060942,2590.0,state,fb-survey
226,mi,smoothed_wili,2021-01-05,2021-01-10,5,0.9615983,0.1044587,14029.0525,state,fb-survey
227,mn,smoothed_wili,2021-01-05,2021-01-10,5,0.739483,0.117832,5483.8919,state,fb-survey
228,mo,smoothed_wili,2021-01-05,2021-01-10,5,1.3596567,0.1625478,6597.0816,state,fb-survey
229,ms,smoothed_wili,2021-01-05,2021-01-10,5,2.3709758,0.2795032,3628.4559,state,fb-survey
230,mt,smoothed_wili,2021-01-05,2021-01-10,5,1.4637603,0.321676,1723.1343,state,fb-survey
231,nc,smoothed_wili,2021-01-05,2021-01-10,5,1.3981917,0.117482,13217.0128,state,fb-survey
232,nd,smoothed_wili,2021-01-05,2021-01-10,5,1.2472564,0.9061961,893.9289,state,fb-survey
233,ne,smoothed_wili,2021-01-05,2021-01-10,5,1.0550122,0.237336,2427.9638,state,fb-survey
234,nh,smoothed_wili,2021-01-05,2021-01-10,5,1.3169339,0.2688575,2336.0,state,fb-survey
235,nj,smoothed_wili,2021-01-05,2021-01-10,5,0.737659,0.0886102,8102.9972,state,fb-survey
236,nm,smoothed_wili,2021-01-05,2021-01-10,5,1.1363291,0.2380325,2443.2455,state,fb-survey
237,nv,smoothed_wili,2021-01-05,2021-01-10,5,1.2657368,0.2613568,2740.6186,state,fb-survey
238,ny,smoothed_wili,2021-01-05,2021-01-10,5,1.0823936,0.0995702,18104.0026,state,fb-survey
239,oh,smoothed_wili,2021-01-05,2021-01-10,5,1.2655276,0.1030639,14618.0068,state,fb-survey
240,ok,smoothed_wili,2021-01-05,2021-01-10,5,2.4608298,0.265191,5574.1956,state,fb-survey
241,or,smoothed_wili,2021-01-05,2021-01-10,5,0.7725242,0.1391643,5314.8214,state,fb-survey
242,pa,smoothed_wili,2021-01-05,2021-01-10,5,1.2137466,0.0995945,15947.0097,state,fb-survey
243,ri,smoothed_wili,2021-01-05,2021-01-10,5,0.546016,0.1717982,1509.9805,state,fb-survey
244,sc,smoothed_wili,2021-01-05,2021-01-10,5,2.0148966,0.1917504,7812.0054,state,fb-survey
245,sd,smoothed_wili,2021-01-05,2021-01-10,5,1.3056881,0.3773983,1259.5462,state,fb-survey
246,tn,smoothed_wili,2021-01-05,2021-01-10,5,2.1525397,0.2078809,8433.4483,state,fb-survey
247,tx,smoothed_wili,2021-01-05,2021-01-10,5,1.6694619,0.0824264,26042.838,state,fb-survey
248,ut,smoothed_wili,2021-01-05,2021-01-10,5,1.7286435,0.2434771,3531.9912,state,fb-survey
249,va,smoothed_wili,2021-01-05,2021-01-10,5,1.3197358,0.1224261,10155.84,state,fb-survey
250,vt,smoothed_wili,2021-01-05,2021-01-10,5,0.2620349,0.1767001,1153.0016,state,fb-survey
251,wa,smoothed_wili,2021-01-05,2021-01-10,5,0.7747097,0.1198031,9020.5596,state,fb-survey
252,wi,smoothed_wili,2021-01-05,2021-01-10,5,0.9421411,0.1302914,6723.9451,state,fb-survey
253,wv,smoothed_wili,2021-01-05,2021-01-10,5,1.5211024,0.3627124,3314.1593,state,fb-survey
254,wy,smoothed_wili,2021-01-05,2021-01-10,5,1.652457,0.4577833,841.8092,state,fb-survey
