,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
87,ok,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,84.4569447,0.5463459,4397.8095,state,fb-survey
88,or,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.953551,0.4072144,4461.9683,state,fb-survey
89,pa,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.4063203,0.24644,12934.006,state,fb-survey
90,ri,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.1725174,0.6309807,1153.985,state,fb-survey
91,sc,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,87.8967837,0.4241631,5913.0027,state,fb-survey
92,sd,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,79.0880459,1.2664538,1031.1616,state,fb-survey
93,tn,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,87.7157619,0.40301,6634.287,state,fb-survey
94,tx,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,91.7004622,0.1948818,20039.3051,state,fb-survey
95,ut,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,90.7085078,0.5348542,2946.2032,state,fb-survey
96,va,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,93.5801168,0.2689049,8308.3194,state,fb-survey
97,vt,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,95.9279149,0.6355757,967.0018,state,fb-survey
98,wa,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,94.3087731,0.2692991,7400.9612,state,fb-survey
99,wi,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,88.5699173,0.4247658,5610.953,state,fb-survey
100,wv,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,89.0064839,0.6224937,2525.1571,state,fb-survey
101,wy,smoothed_wwearing_mask,2021-01-02,2021-01-07,5,74.4415323,1.6169762,727.6841,state,fb-survey
102,ak,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,85.2651052,1.248509,806.0,state,fb-survey
103,al,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,87.7127722,0.499992,4311.1246,state,fb-survey
104,ar,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,88.6338365,0.5641711,3165.132,state,fb-survey
105,az,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,91.3948556,0.3628056,5974.9171,state,fb-survey
106,ca,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,95.3753763,0.1283651,26768.1686,state,fb-survey
107,co,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,92.4827083,0.3552191,5509.7182,state,fb-survey
108,ct,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,96.381457,0.2851248,4290.0,state,fb-survey
109,dc,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,96.3852412,0.9173705,414.0,state,fb-survey
110,de,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,95.6256669,0.5595513,1336.0,state,fb-survey
111,fl,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,88.3594742,0.2373679,18255.0019,state,fb-survey
112,ga,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,84.6018777,0.4385668,6772.9257,state,fb-survey
113,hi,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,95.8812739,0.6207067,1025.0,state,fb-survey
114,ia,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,85.9534146,0.5616683,3827.1375,state,fb-survey
115,id,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,80.1202377,0.8756212,2077.4038,state,fb-survey
116,il,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,92.9762023,0.2336035,11966.9991,state,fb-survey
117,in,smoothed_wwearing_mask,2021-01-03,2021-01-08,5,89.4393726,0.3773586,6632.9989,state,fb-survey
