,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
84,nv,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.6381586,0.4875864,2134.4063,state,fb-survey
85,ny,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.6133219,0.1515511,14246.0023,state,fb-survey
86,oh,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.9617127,0.2173144,12014.0064,state,fb-survey
87,ok,smoothed_wearing_mask,2021-01-02,2021-01-07,5,88.2154011,0.4861408,4398.8095,state,fb-survey
88,or,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.9851499,0.3559017,4462.9683,state,fb-survey
89,pa,smoothed_wearing_mask,2021-01-02,2021-01-07,5,93.5963834,0.2152412,12937.006,state,fb-survey
90,ri,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.4100745,0.5474138,1154.985,state,fb-survey
91,sc,smoothed_wearing_mask,2021-01-02,2021-01-07,5,90.8852888,0.374137,5918.0027,state,fb-survey
92,sd,smoothed_wearing_mask,2021-01-02,2021-01-07,5,82.0946255,1.1939488,1031.1616,state,fb-survey
93,tn,smoothed_wearing_mask,2021-01-02,2021-01-07,5,90.1719356,0.3653774,6638.287,state,fb-survey
94,tx,smoothed_wearing_mask,2021-01-02,2021-01-07,5,92.8743545,0.1816949,20046.3051,state,fb-survey
95,ut,smoothed_wearing_mask,2021-01-02,2021-01-07,5,92.6561371,0.480501,2947.2032,state,fb-survey
96,va,smoothed_wearing_mask,2021-01-02,2021-01-07,5,94.9638044,0.2398952,8310.3194,state,fb-survey
97,vt,smoothed_wearing_mask,2021-01-02,2021-01-07,5,96.952485,0.5527627,967.0018,state,fb-survey
98,wa,smoothed_wearing_mask,2021-01-02,2021-01-07,5,95.8749595,0.2311029,7404.9612,state,fb-survey
99,wi,smoothed_wearing_mask,2021-01-02,2021-01-07,5,91.4232967,0.3737601,5612.9531,state,fb-survey
100,wv,smoothed_wearing_mask,2021-01-02,2021-01-07,5,92.4618655,0.5252706,2526.1571,state,fb-survey
101,wy,smoothed_wearing_mask,2021-01-02,2021-01-07,5,78.116594,1.5327018,727.6841,state,fb-survey
102,ak,smoothed_wearing_mask,2021-01-03,2021-01-08,5,88.5377943,1.1220984,806.0,state,fb-survey
103,al,smoothed_wearing_mask,2021-01-03,2021-01-08,5,90.6188471,0.4440604,4311.1246,state,fb-survey
104,ar,smoothed_wearing_mask,2021-01-03,2021-01-08,5,91.8339274,0.4866802,3166.132,state,fb-survey
105,az,smoothed_wearing_mask,2021-01-03,2021-01-08,5,92.8988644,0.3322236,5976.9171,state,fb-survey
106,ca,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.1571612,0.1174457,26789.1686,state,fb-survey
107,co,smoothed_wearing_mask,2021-01-03,2021-01-08,5,93.9376929,0.3213201,5515.7182,state,fb-survey
108,ct,smoothed_wearing_mask,2021-01-03,2021-01-08,5,97.1458527,0.2541974,4291.0,state,fb-survey
109,dc,smoothed_wearing_mask,2021-01-03,2021-01-08,5,97.9518072,0.6961318,414.0,state,fb-survey
110,de,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.7488789,0.4850358,1337.0,state,fb-survey
111,fl,smoothed_wearing_mask,2021-01-03,2021-01-08,5,90.1921586,0.2200702,18265.0019,state,fb-survey
112,ga,smoothed_wearing_mask,2021-01-03,2021-01-08,5,87.9372235,0.3956632,6775.9257,state,fb-survey
113,hi,smoothed_wearing_mask,2021-01-03,2021-01-08,5,96.6374269,0.5630495,1025.0,state,fb-survey
114,ia,smoothed_wearing_mask,2021-01-03,2021-01-08,5,90.1190435,0.4823594,3827.1375,state,fb-survey
115,id,smoothed_wearing_mask,2021-01-03,2021-01-08,5,83.4887679,0.8142061,2079.4038,state,fb-survey
116,il,smoothed_wearing_mask,2021-01-03,2021-01-08,5,94.4435163,0.2093294,11975.9991,state,fb-survey
